"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Black Redstart",2,3065.65,3027.26625,3081,272,272,272,2793.65,2755.26625,2809.45125
"Common Myna",0,272,272,272,272,272,272,0,0,0
"Crimson Sunbird",2,326,326,326,321,313,321,5,5,13
"Gray Bushchat",2,1271.8,1255,1309,326,321,347.605,943.85,917.24125,983
"Gray-hooded Warbler",2,1163.3,1106.41375,1171,438,421.2975,440.6,725.3,678.47125,743
"Himalayan Bulbul",2,522.9,464.5,560,385,372,388,138.375,78.1975000000001,176.11
"House Sparrow",0,272,272,272,272,272,272,0,0,0
"Large-billed Crow",0,326,314,337.5525,315,299.54875,326,10.1,-5.70749999999999,29
"Red-vented Bulbul",0,272,272,272,272,272,272,0,0,0
"Rufous Treepie",0,272,271,272,272,272,272,0,-1,0
"Russet Sparrow",2,1073.1,1035,1118.005,962,932,1024.10375,105.5,41,162.17125
"Yellow-billed Blue-Magpie",2,1157,1143,1221.41,962,932,1025,181,118,259.605
"Blue Whistling-Thrush",2,1085.5,1055.3625,1134,388,381,388,698.025,667.375,746
"Eurasian Jackdaw",0,1579,1575.94875,1580,1579,1578.69875,1580.1,0,-3.5,1
"European Goldfinch",2,1582,1582,1582,852.8,640.39,861.0425,729.2,720.9575,941.61
"House Crow",0,264,262,271.3525,262,262,266,2,-1.55125000000001,9
"Rose-ringed Parakeet",0,272,272,272,272,272,272,0,0,0
"Streaked Laughingthrush",2,1248,1236,1268.5075,1134,1094.6,1157.315,114.1,84.3949999999999,154.70375
"Tickell's Thrush",2,1332,1332,1332,359.3,326,591,972.7,741,1006
"Bar-tailed Treecreeper",2,1332,1332,1332,602,591,602,730,730,741
"Coal Tit",0,1521.8,1464.9,1587,1445.1,1399.2,1535.21,73.15,-40.26,170.96125
"Plain Mountain Finch",2,2064.65,2021.75,2455.5225,1576.5,1520.25,1595.9,500.95,441.2425,882.205
"Rock Bunting",2,1596.2,1583.2,1682.61,1025,932,1093.65,562.1,493.34125,680
"Yellow-breasted Greenfinch",2,1372.3,1369,1448,311.15,272,467.795,1073.675,913.47,1170.4
"Common Raven",2,1694.125,1594.6,2125.4,358.1,314.2,1260.7125,1296.525,391.81875,1781.79125
"Plumbeous Redstart",2,1190.375,1134,1254,363,359.84125,368,827.125,768.89,891
"Black Bulbul",2,1035,988,1062.1,388,372,422.0025,636,588.4725,676
"Cinereous Tit",2,409,409,415.7575,378.35,368,388,31.8,21,41
"Green-backed Tit",2,1368.175,1365,1369,1325.6,1303.74375,1332,42.0500000000001,33,64.1525000000001
"Oriental Turtle-Dove",2,666,616.07375,780,309.4,272.6975,388,359.975,278,466.01375
"Ultramarine Flycatcher",2,1332,1332,1346.4225,272,272,272,1060,1060,1074.4225
"Common Rosefinch",2,1050,827,1254.02875,427.2,384.6,595,587.3,310.35625,848.50375
"Great Barbet",2,1093,1052.02125,1136.65125,790.75,761,868.255,299.25,211.6825,365
