"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff","elev_roundS","elev_roundW","maxTemp_June_mean","minTemp_June_mean","maxTemp_June_ci","minTemp_June_ci","tempRange_June","maxTemp_Jan_mean","minTemp_Jan_mean","maxTemp_Jan_ci","minTemp_Jan_ci","tempRange_Jan","ThermalRegime","Species3","Tree.name","HWI","Diet"
"Chukar",0,1883.2,1729.7925,1981.38375,1754.05,1696.7,1857.0125,121.95,-73.0175,251.7425,1900,1800,27.3895571071811,15.1626063911116,0.0523529787822201,0.0377440440578373,12.2269507160695,7.33040540540541,-4.81171171171171,0.044476986703483,0.033743506121438,12.1421171171171,32.2012688188928,"Alectoris chukar","Alectoris_chukar",28.94734505,"seeds"
"Kalij Pheasant",0,775,637.12625,789.8025,759.65,661.965,772.95375,12.925,-124,112.2,800,800,34.8266481135088,22.767694694101,0.0371399753039667,0.0310862941515126,12.0589534194078,15.1850312514257,2.46013504265706,0.0431564250140531,0.028918822881336,12.7248962087686,32.3665130708517,"Lophura leucomelanos","Lophura_leucomelanos",17.7587268,"omnivore"
"Koklass Pheasant",2,1871,1773.5,2035,1689,1667,1804.4,177.475,46.86625,341.6925,1900,1700,27.3895571071811,15.1626063911116,0.0523529787822201,0.0377440440578373,12.2269507160695,8.11191963616373,-4.04807836473587,0.0448703514731545,0.0334114256335395,12.1599980008996,31.437635471917,"Pucrasia macrolopha","Pucrasia_macrolopha",28.8286769,"omnivore"
"Himalayan Monal",2,2174.85,2124.3,2531.96,2039.25,1778.75,2111,133.7,21.3650000000001,472.155,2200,2000,25.7851999250866,13.0330040265943,0.0528940719782139,0.0341782841058608,12.7521958984924,6.02349736303012,-6.23649479143965,0.0367805185372145,0.0295535215008276,12.2599921544698,32.0216947165263,"Lophophorus impejanus","Lophophorus_impejanus",21.09188816,"omnivore"
"Red Junglefowl",0,272,272,272,284.9,272,304,-12.9,-32,0,300,300,38.7297142366404,27.7808034008201,0.00569581805600079,0.00538932095846712,10.9489108358203,21.8863516327801,7.77234171372136,0.00935780358142791,0.00706596436600862,14.1140099190588,30.957372522919,"Gallus gallus","Gallus_gallus",23.21714883,"omnivore"
"Black Francolin",0,629.75,601.45375,733.1175,579.2,437.04875,921.18125,53.275,-286.22125,208.51,600,600,35.9098041195477,24.2701164512655,0.0234141803249473,0.0224606985928427,11.6396876682822,17.45656637049,4.27501009693053,0.0429343337602193,0.029129036086838,13.1815562735595,31.6347940226172,"Francolinus francolinus","Francolinus_francolinus",24.76331799,"seeds"
"Indian Peafowl",2,272,259,272,246.6,245,267,20.025,2.74375,27,300,200,38.7297142366404,27.7808034008201,0.00569581805600079,0.00538932095846712,10.9489108358203,21.2894503358178,7.3900782397302,0.00508873434844005,0.00432350904663981,13.8993720960876,31.3396359969102,"Pavo cristatus","Pavo_cristatus",28.71360931,"omnivore"
"Hill Partridge",0,1580,1580,1580,1573,1522.1,1660.5,7,-80.5,59.26125,1600,1600,28.9564082950875,16.9328998810131,0.046710595848932,0.0364053311715484,12.0235084140745,8.79992350841408,-3.37247577766446,0.0410408363124757,0.0302668088368569,12.1723992860785,32.328884072752,"Arborophila torqueola","Arborophila_torqueola",25.19798408,"omnivore"
"Red-wattled Lapwing",2,272,267.79625,272,262,262,262,10,5.79625000000001,10,300,300,38.7297142366404,27.7808034008201,0.00569581805600079,0.00538932095846712,10.9489108358203,21.8863516327801,7.77234171372136,0.00935780358142791,0.00706596436600862,14.1140099190588,30.957372522919,"Vanellus indicus","Vanellus_indicus",43.2386972,"invertebrates"
"Oriental Pied-Hornbill",0,245,245,245,259,245,284.45125,-14,-39.40125,0,200,300,39.6640710249462,28.2027400137879,0.0042808564738231,0.00313442919599782,11.4613310111583,21.8863516327801,7.77234171372136,0.00935780358142791,0.00706596436600862,14.1140099190588,31.8917293112248,"Anthracoceros albirostris","Anthracoceros_albirostris",15.95960551,"fruit"
"Indian Gray Hornbill",0,272,272,272,272,272,272,0,0,0,300,300,38.7297142366404,27.7808034008201,0.00569581805600079,0.00538932095846712,10.9489108358203,21.8863516327801,7.77234171372136,0.00935780358142791,0.00706596436600862,14.1140099190588,30.957372522919,"Ocyceros birostris","Ocyceros_birostris",21.44529833,"fruit"
"Eurasian Hoopoe",2,323.225,321,372,259.9,247.24375,262.30125,66.975,59,119,300,300,38.7297142366404,27.7808034008201,0.00569581805600079,0.00538932095846712,10.9489108358203,21.8863516327801,7.77234171372136,0.00935780358142791,0.00706596436600862,14.1140099190588,30.957372522919,"Upupa epops","Upupa_epops",21.7746589,"invertebrates"
"Green Bee-eater",1,271.5,261,272,301,272,342.6,-29,-77.6025,-0.346250000000025,300,300,38.7297142366404,27.7808034008201,0.00569581805600079,0.00538932095846712,10.9489108358203,21.8863516327801,7.77234171372136,0.00935780358142791,0.00706596436600862,14.1140099190588,30.957372522919,"Merops orientalis","Merops_orientalis",35.33244734,"invertebrates"
"Blue-bearded Bee-eater",0,245,245,245.02125,306.6,245,369.02125,-61.6,-124.02125,0,200,300,39.6640710249462,28.2027400137879,0.0042808564738231,0.00313442919599782,11.4613310111583,21.8863516327801,7.77234171372136,0.00935780358142791,0.00706596436600862,14.1140099190588,31.8917293112248,"Nyctyornis athertoni","Nyctyornis_athertoni",25.17546249,"invertebrates"
"Indian Roller",0,245,245,245,245,245,245,0,0,0,200,200,39.6640710249462,28.2027400137879,0.0042808564738231,0.00313442919599782,11.4613310111583,21.2894503358178,7.3900782397302,0.00508873434844005,0.00432350904663981,13.8993720960876,32.273992785216,"Coracias benghalensis","Coracias_benghalensis",28.50438198,"omnivore"
"Crested Kingfisher",0,365.4,336.6,372.95625,335,314.995,363,28,-14.16625,53,400,300,37.4791724394499,27.0676377770936,0.00596803255200587,0.00638276566218357,10.4115346623563,21.8863516327801,7.77234171372136,0.00935780358142791,0.00706596436600862,14.1140099190588,29.7068307257285,"Megaceryle lugubris","Megaceryle_lugubris",29.88208589,"vertebrates"
"White-throated Kingfisher",0,271,262,272,262,256,262,9.64999999999998,0,15.5,300,300,38.7297142366404,27.7808034008201,0.00569581805600079,0.00538932095846712,10.9489108358203,21.8863516327801,7.77234171372136,0.00935780358142791,0.00706596436600862,14.1140099190588,30.957372522919,"Halcyon smyrnensis","Halcyon_smyrnensis",20.24597458,"vertebrates"
"Greater Flameback",0,275.75,245.98,334,297,292.5,306.96,-21.6,-51.5,37,300,300,38.7297142366404,27.7808034008201,0.00569581805600079,0.00538932095846712,10.9489108358203,21.8863516327801,7.77234171372136,0.00935780358142791,0.00706596436600862,14.1140099190588,30.957372522919,"Chrysocolaptes lucidus","Chrysocolaptes_lucidus",19.87077838,"invertebrates"
"Black-rumped Flameback",0,256.9,245,272,267,259,272,-10.6,-27,10,300,300,38.7297142366404,27.7808034008201,0.00569581805600079,0.00538932095846712,10.9489108358203,21.8863516327801,7.77234171372136,0.00935780358142791,0.00706596436600862,14.1140099190588,30.957372522919,"Dinopium benghalense","Dinopium_benghalense",20.69691878,"invertebrates"
"Scaly-bellied Woodpecker",0,1237,1234.7725,1252,1174.95,1098.94625,1255,62.0499999999998,-18,140.16625,1200,1200,32.1217451665981,20.0951408885232,0.0473856533386101,0.0381315956449221,12.0266042780749,12.1043963389552,-0.302781777046483,0.0414529140408808,0.0274151040609836,12.4071781160016,32.4245269436446,"Picus squamatus","Picus_squamatus",23.45152733,"invertebrates"
