"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Black Redstart",2,4714,4665,4878.605,1974.775,1919.16625,2026.25,2759,2681.99375,2927.8075
"Common Myna",2,2417,2417,2417,2173,2173,2173,244,244,244
"Crimson Sunbird",2,1554.5,1502,1580,1248,1214,1259,309.149999999999,251.52125,360.8525
"Gray Bushchat",2,2629.25,2624.43875,2645,2146,2112.52375,2173,491.150000000001,454,528.12125
"Gray-hooded Warbler",0,2478.2,2417,2499,2417,2417,2417,61.1999999999989,0,82
"Himalayan Bulbul",2,2417,2417,2417,2201,2178.8975,2233,216,184,238.1025
"House Sparrow",2,3845,3707.785,3924.9525,2417,2317.4,2417,1429,1296.785,1550.665
"Large-billed Crow",2,2893,2844,2893,2630,2630,2630,263,214,263
"Little Cormorant",2,968.774999999999,870.9,1011,761,683.562499999999,767.55,212.85,109.975,286.978749999999
"Red-vented Bulbul",2,2173,2173,2173,2035,1988.585,2067,138,106,184.415
"Rufous Treepie",1,918.6,861,954.25625,1048.9,1007.795,1092.61,-128.849999999999,-196.906250000003,-68.9374999999984
"Russet Sparrow",2,2712.6,2698.4,2747.66375,2417,2417,2417,295.599999999999,281.400000000001,330.663749999999
"Yellow-billed Blue-Magpie",2,2511,2510,2511,2438.69999999999,2417,2499,71.3750000000032,11.5987500000004,94
"Alexandrine Parakeet",1,1427,1390.8,1497,1819.9,1724.86875,1902.0625,-390.150000000001,-473.237499999996,-269.988749999999
"Black Kite",0,1949,1901,1969.205,1941.05,1890,1952,3,-42.4049999999997,52.7174999999994
"Blue Whistling-Thrush",2,2893,2866.18,2893,2499,2499,2499,394,367.179999999999,394
"Eurasian Jackdaw",1,2704,2696.2,2751.37625,3197,2766.7,3197,-491.4,-500.215,-62.6999999999962
"European Goldfinch",2,3712,3661.43875,3779.64625,3241.75,3237,3243.0025,471.1,419.646250000001,538.866249999999
"European Starling",1,2142.85,1889.3,2192.35,3240,3240,3240,-1097.15,-1350.7,-1047.65
"House Crow",0,1794.85,1740.9025,1825.2325,1810,1785.615,1810,-9.27499999999986,-65.0325,27.5225
"Rose-ringed Parakeet",0,1352.45,1318.765,1413,1286.65,1255,1365.9125,64.3999999999996,-30.7499999999996,135.01
"Streaked Laughingthrush",2,2738,2695.4,2775.015,2635.4,2630.54875,2641.605,101.974999999999,60.6950000000003,143.201249999999
"Bar-tailed Treecreeper",2,2826.5,2784,2895.5375,2499,2499,2531.4,326.6,281.377499999999,393.537499999999
"Coal Tit",2,3144.7,3057.1975,3216,2893,2892.75,2900.5,251.325,163.9975,323
"Plain Mountain Finch",2,4650.75,4592.48625,4686.6,2860,2852.8,2860,1791.65,1734.945,1827.75125
"Rock Bunting",2,4162,4095.6,4203.9025,2417,2417,2417,1745,1678.6,1786.9025
"Yellow-breasted Greenfinch",0,2860.5,2836,2888,3214,2606.24999999998,3218.2075,-350.9,-379.20375,253.325000000016
"Egyptian Vulture",0,1838.65,1758.25,1945,1659.05,1303.785,1839.27875,172.750000000001,-51.1274999999997,534.462500000001
"Plumbeous Redstart",2,3251,3216,3299.5,2630,2630,2630,621,586,669.5
"Black Bulbul",2,2499,2499,2499,2376.85,2293,2417,122.150000000001,82,206
"Cinereous Tit",2,3420,3307,3487,3237,3237,3237,183,70,250
"Green-backed Tit",2,2548,2514.15,2598.5,2499,2499,2499,49,15.1499999999992,99.5
"Oriental Turtle-Dove",2,3512,3487,3538,2284.75,2194.7125,2312,1233.475,1175.75,1318.8075
