"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Black Redstart",2,2796.95,2759.0975,2936.01,272,268,274.1,2525,2486.7,2664.01
"Common Myna",0,272,272,272,272,272,272,0,0,0
"Crimson Sunbird",0,326,326,326,321,303.74125,334.05875,5,-8.05875000000007,23.8049999999999
"Gray Bushchat",2,1258,1236.29875,1309,329.875,320.29625,368,929.075,886,983
"Gray-hooded Warbler",2,1164,1095.1,1185.50125,440.4,422,454,721.85,655.39625,748.97875
"Himalayan Bulbul",2,531.9,443,589.51,388,373.985,397.11625,144.775,55.14875,201.9
"House Sparrow",0,272,272,272,272,272,272,0,0,0
"Large-billed Crow",0,326,294.99,368,326.25,304.7875,368,0,-44.1125,47.6062500000001
"Little Cormorant",1,245,243.5,261,262,256.9925,271.05125,-17,-26.00125,-1.30000000000001
"Red-vented Bulbul",0,272,272,272,272,272,272,0,0,0
"Rufous Treepie",0,271.95,259,272,272,272,272,-0.0500000000000114,-13,0
"Russet Sparrow",0,1091.2,1035,1134.105,1025,954,1063.5025,65.675,-14.5125,146.00875
"Yellow-billed Blue-Magpie",2,1143,1134.1975,1224.00125,1027,962,1099,118,43,209.97625
"Alexandrine Parakeet",0,272,272,272,272,272,272,0,0,0
"Black Kite",0,272,272,272,272,272,272,0,0,0
"Blue Whistling-Thrush",2,1099,1056,1143,388,388,410,706.1,662,755
"Eurasian Jackdaw",0,1579,1572.8,1580,1579.25,1577.1975,1581.85125,-0.349999999999909,-7.20125000000004,2.10499999999991
"European Goldfinch",2,1582,1581.4,1582,861,655.185,1152.6725,721,429.3275,926.815
"House Crow",0,264,259,272,262,260.34875,270.5025,1.72499999999999,-7.60250000000002,10
"Rose-ringed Parakeet",0,272,272,272,272,272,272,0,0,0
"Streaked Laughingthrush",0,1244,1192.5875,1267.75375,1144.125,1109,1219,91.725,-1.09624999999995,138.65125
"Bar-tailed Treecreeper",2,1332,1332,1357.08,602,591,616,730,716,762.61
"Coal Tit",0,1546.7,1373.8,1772.33625,1494,1363.5,1580.4075,64.9249999999998,-145.2725,362.29875
"Plain Mountain Finch",2,2131.75,1933.8325,2573.16,1582,1435.1475,1640.61,543.7,359.75,980.61
"Rock Bunting",2,1598.275,1381,1774,1093,996.99875,1155.47375,521.5,295.3375,722.02375
"Yellow-breasted Greenfinch",2,1369,1346,1452.92625,389.45,272,599.40125,985.925,764.44125,1160.97625
"Egyptian Vulture",0,272,272,272,262.7,245,272,9.30000000000001,0,27
"Plumbeous Redstart",2,1191,1088.22375,1327.5125,368,355.995,369.4,826.05,720.90625,961.5275
"Black Bulbul",2,1050,1009.39,1098.99125,403.375,370.2,446,643.7,582.7475,709.6
"Cinereous Tit",2,409,409,440,388,371.985,394.01375,21.85,15.8925,54
"Green-backed Tit",0,1339.4,1332,1365.75,1306.675,1255,1332,42.825,0,110
"Oriental Turtle-Dove",2,827,661.7925,1060.7625,324.325,272,388,487.625,293.4975,750.83625
"Common Rosefinch",2,1236,827,1332,459.375,346.14625,602,683.35,261.43875,920.02
"Great Barbet",2,1114.725,1061.9975,1164,889.45,771,962,225.325,132,357.41
"Ashy Drongo",2,996.7,872,1049.4,272,270.74375,278.65875,724.475,600,777.35125
"Eurasian Sparrowhawk",2,1428,1207.35,1580,602,412.71625,858.915,846.2,536.35625,1122.18625
"Gray Wagtail",2,846.5,664,1267.4,272,254.9875,272,575.875,392,995.70125
"Gray-winged Blackbird",2,1332,1332,1365,452.275,378.72125,602,883.8,730,957.97625
"Himalayan Griffon",2,1273.925,1222.6975,1369,377.05,303.545,409,906.9,840.14375,1018.91
"White Wagtail",2,1580,1244.77625,1584.00375,265.2,262,272,1312.9,982.70125,1320.80375
"White-capped Redstart",2,1250.3,1160.9375,1369,381.775,368,404,865.6,784.06875,988
"Spotted Dove",0,272,272,272,272,271.99625,272,0,0,0.00374999999999602
"Black-headed Jay",0,1332,1287.02875,1340.2575,1262,1157,1332,68.8999999999999,-1.75,175
"Eurasian Kestrel",2,1276,1151.3825,1369,395,346.475,680.8475,880.675,531.58625,997.015
"Gray-headed Canary-Flycatcher",2,1332,1332,1332,326,308.4975,365.9025,1006,965.48,1023.5025
"Indian White-eye",0,272,272,272,272,272,272,0,0,0
"Rock Pigeon",0,272,268.59625,272,272,266,279,0,-7,6
"Scaly-bellied Woodpecker",0,1237,1201.95,1258.1,1222.4,1081.76125,1294.0225,18.25,-63.2525,159.55375
"Spotted Forktail",2,1323,1254.54875,1349.2,1011.9,833.48375,1076.245,312,191.99,486.25125
"Black Drongo",2,272,270.845,272,262,250.19625,265.45125,10,5.44874999999999,21.80375
"Common Kingfisher",0,272,245.44875,369.3025,311.2,261.995,348.615,-23.8,-79.01,86.27625
"Eurasian Coot",2,1572.35,422,1580,262,254.5,269.275,1310.2,159.875,1320.25
"Eurasian Moorhen",2,363.625,312.295,576.2775,262,262,272,99.8000000000001,46.18125,312.75125
"Gray Heron",2,403,278.55,403,262,262,262,141,16.55,141
"Little Grebe",0,314.675,262.05,415.245,316,270.34625,367.2425,6.05000000000007,-85.8975,111.2775
"Mallard",2,1579,1571,1580,354.7,314.1625,403,1222.475,1170.775,1264.41875
"White-throated Kingfisher",0,271,254.785,272,262,247.5975,263,9.29999999999998,-6.55249999999995,19.85125
"Black-throated Tit",2,1332,1329.78625,1348.42,1255,1239.5,1332,77.025,2.66624999999982,100.52
"Variegated Laughingthrush",0,1386.5,1369,1694.4375,1537.925,1431.3,1587,-139.05,-211,163.76375
"Eurasian Jay",0,1674.25,1476.1,1840.8425,1542,1471.59125,1617.5125,135.675,-76.1199999999999,323.22125
"Gray-headed Woodpecker",0,600,460.98875,602,599,580.99875,602,0,-134.7525,14.1262499999999
"Himalayan Woodpecker",0,1483,1373.1825,1570,1542,1368,1556.03,-35.4,-166,126.19875
"Asian Barred Owlet",0,459.8,413.13875,661.015,452.4,422,563.94,7.72499999999999,-109.89,203.66125
"Crested Kingfisher",0,367.75,252.7025,381.3,361.075,306.7025,368,5.65000000000003,-69.775,64.005
"Jungle Babbler",0,272,272,272,272,272,272,0,0,0
"Jungle Myna",2,445.8,403,584,271.7,245,327.36,178.4,96.2625,325.14
"Oriental Magpie-Robin",0,279,272,295,272,272,272,7,0,23
"Red-wattled Lapwing",0,271.35,262,272,262,253,265,9.14999999999998,-0.355000000000021,16.95625
"Lemon-rumped Warbler",2,1270.4,672.74875,1461.71875,591,470.35,602,685.2,108.8825,926.9525
"Blue-throated Barbet",2,585.45,443,670.3225,430.6,372.9975,497.96625,155.975,2.68250000000005,249.71
"Brownish-flanked Bush Warbler",2,1612,1587,1753.795,774,429.865,1015.195,872.25,604.9725,1224.3025
"Common Tailorbird",0,272,272,272,272,272,272,0,0,0
"Indian Pond-Heron",0,262,245,272,262,252.395,267.45125,0,-17,14.41
"Little Egret",0,245.6,244.59875,272,263,262,284.0025,-17,-38.15125,6.51249999999999
"Plum-headed Parakeet",0,272,272,285.50375,272,272,272,0,0,13.50375
"Black-chinned Babbler",1,386,372,388,589.6,436.4,602,-203,-217.00125,-48.395
"Brown-fronted Woodpecker",0,1237,1060.73,1248.75375,1056,937.83875,1136.085,166.125,-9.0025,282.0125
"Chestnut-bellied Nuthatch",0,423.1,387.8,581.7325,385.25,321.6,394.6,44.95,-0.00124999999999879,204.355
"Himalayan Prinia",0,1023,932.77,1070.25375,877.8,841.79,1009.77625,135.725,-1.80499999999996,209.46
"Kalij Pheasant",0,780,611,889.9625,771.75,710.91875,914.16875,5.89999999999998,-186.24,133.61
"Pied Kingfisher",1,245,244,245.06625,258.45,245.6,272,-13.625,-27.7975,-0.667500000000007
"Red-billed Leiothrix",0,680.625,666,795.6625,712.5,656.385,842.42125,-8.32499999999993,-161.03375,116.4
"Rufous Sibia",2,1540.85,1433.98125,1630,1062.55,932,1134.9025,470.075,342.77,623.8025
"Eurasian Hoopoe",2,328.4,310.58375,409,261.1,245,269.005,74.125,49,150.61
"Slaty-headed Parakeet",2,1011.7,879.85875,1062.8,491,399,602,516.3,327.985,645.2075
"Long-tailed Minivet",2,1253.5,1164,1332,368,299.0975,388,891.65,799.8275,997.7125
"Eurasian Collared-Dove",2,272,264.44625,272,262,245.895,262.0025,10,4.49375,26.105
"Long-tailed Shrike",2,584,512.23875,602,272,263.94375,272,312,240.23875,330
"Brown Dipper",2,1237,1142.1,1403.1,796.975,666,1013.405,454.4,183.71,694.33875
"Greenish Warbler",2,467.525,284.35,616,272,251.99375,272,198.2,14.79375,348.4175
"Siberian Stonechat",2,1152.8,1087.2,1197.06,260.4,245,263,894.4,831,943.645
"Baya Weaver",0,253.575,245,272,262.05,262,272,-8.42500000000001,-27,10
"Black-winged Stilt",0,272.85,262,294.53,262,255.83,272.075,10.85,-6.43999999999998,33.545
"Cattle Egret",0,264,245.99875,272,262,246.595,265.15125,2.875,-16,19.01875
"Common Sandpiper",0,277.25,272,381.85,272,262.225,287,5.60000000000002,-15,107.525
"Pied Bushchat",0,272,246,272,249,245,262.8525,18.45,-0.801249999999984,27
"White-breasted Waterhen",0,262,245,272,253,245,262,4.37500000000001,-17,25.5025
"Barn Swallow",2,409,350.0975,433.00625,272,262,272,137,78.0975,161.275
"Gray-breasted Prinia",0,272,272,272,272,272,272,0,0,0
"Paddyfield Pipit",1,243.95,243.95,243.95,247.6,247.6,247.6,-3.65000000000001,-3.65000000000001,-3.65000000000001
"Red-rumped Swallow",2,519,387.7,591,272,272,272,245.925,115.69625,319
"Indian Robin",0,272,250.74625,272,272,263.19625,272,0,-20.015,8.75125
"Purple Sunbird",0,272,272,272,248.625,209.8,272,23.375,0,62.2
"Indian Peafowl",0,272,247,272,249,245,272,16.1,-9.5025,27
"Brown-headed Barbet",0,272,272,272,272,269,272,0,0,3
"Coppersmith Barbet",0,272,272,272,274.2,262.44,301.79,-2.20000000000005,-30.08,9.55999999999996
"Green Bee-eater",0,267.55,245.95125,272,301,268.75,368.44875,-35.15,-104.56625,0
"Red Junglefowl",0,272,272,272,285.25,271.99375,314.35625,-13.25,-42.35625,0.00624999999999289
"Scaly-breasted Munia",0,272,245.34875,272,272,262,305.225,0,-34.405,10
"White-throated Fantail",2,591,565,602,288,272,315.00625,300.075,259.89375,325.475
"Ashy Prinia",0,272,264,272,263,253,272,8.89999999999998,0,19
"Greater Coucal",2,278.725,272,306.61,262,251.395,264.2225,17.725,9.44250000000004,45.615
"Indian Gray Hornbill",0,272,272,272,272,272,279,0,-7,0
"Hill Partridge",0,1580,1574.595,1743,1560.55,1378.4625,1795.62875,28.5500000000001,-215.62875,238.52
"Chestnut-bellied Rock-Thrush",2,1255.75,1237.8675,1373.015,657.75,470.9825,821.6,618.8,439.44,816.46
"Hume's Warbler",2,1353.6,1202.82875,1585.5025,272,272,272,1081.6,930.82875,1313.5025
"Pink-browed Rosefinch",2,1791.5,1628.625,1875.08125,1255,1144.1,1288.95,551.5,371.51875,687.2
"Fulvous-breasted Woodpecker",0,429.55,307.5025,443.135,382.25,319.62,414.3175,46.55,-78.77,115.65
"Gray-capped Pygmy Woodpecker",0,386,372,407.5,372.35,306.265,388,10.45,-15.55375,79.83375
"Rusty-cheeked Scimitar-Babbler",0,591,590.2975,602,602,591,602,-6.60000000000002,-11,11
"Brown Rock Chat",0,272,272,272,272,267.44875,272,0,0,4.55125000000001
"Common Babbler",0,272,249.12,272,272,260.7,272,0,-21.48,9.9
"Gray Francolin",0,272,263.3,272,270,260.99375,272,0.800000000000011,-7.70124999999999,10
"Laughing Dove",2,316.025,295.74875,324.23,267.5,237.74875,300.4025,45.625,7.14125000000003,81.35875
