"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff","elev_roundS","elev_roundW","maxTemp_June_mean","minTemp_June_mean","maxTemp_June_ci","minTemp_June_ci","tempRange_June","maxTemp_Jan_mean","minTemp_Jan_mean","maxTemp_Jan_ci","minTemp_Jan_ci","tempRange_Jan","ThermalRegime","Species3","Tree.name","HWI","Diet"
"Kalij Pheasant",0,2089,1920,2374,1846,1620.475,2008,251.5,0,588.0625,2100,1800,27.1764638975482,14.1433777066307,0.0497340062127928,0.0314255894362978,13.0330861909175,7.33040540540541,-4.81171171171171,0.044476986703483,0.033743506121438,12.1421171171171,31.9881756092599,"Lophura leucomelanos","Lophura_leucomelanos",17.7587268,"omnivore"
"Red Junglefowl",0,479,358,513,290.5,224.025,489,162.25,-52.9625,261,500,300,36.7211430451953,26.1012242211496,0.00865765667490009,0.00965143036277529,10.6199188240456,21.8863516327801,7.77234171372136,0.00935780358142791,0.00706596436600862,14.1140099190588,28.9488013314739,"Gallus gallus","Gallus_gallus",23.21714883,"omnivore"
"Indian Peafowl",0,208,172,337.5,232,185,260,-15.5,-78.6,110,200,200,39.6640710249462,28.2027400137879,0.0042808564738231,0.00313442919599782,11.4613310111583,21.2894503358178,7.3900782397302,0.00508873434844005,0.00432350904663981,13.8993720960876,32.273992785216,"Pavo cristatus","Pavo_cristatus",28.71360931,"omnivore"
"Hill Partridge",0,2368,2214,2423,1982,1935,2387.5,322,-35.3,434.65,2400,2000,23.541152562936,11.1284561722778,0.0546705602225242,0.0352396776069264,12.4126963906582,6.02349736303012,-6.23649479143965,0.0367805185372145,0.0295535215008276,12.2599921544698,29.7776473543756,"Arborophila torqueola","Arborophila_torqueola",25.19798408,"omnivore"
"Red-wattled Lapwing",0,199,199,211,243,206,254,-42,-51,2,200,200,39.6640710249462,28.2027400137879,0.0042808564738231,0.00313442919599782,11.4613310111583,21.2894503358178,7.3900782397302,0.00508873434844005,0.00432350904663981,13.8993720960876,32.273992785216,"Vanellus indicus","Vanellus_indicus",43.2386972,"invertebrates"
"Great Hornbill",0,472,438,540,529,382,601,-32,-132.5,122.8,500,500,36.7211430451953,26.1012242211496,0.00865765667490009,0.00965143036277529,10.6199188240456,20.9677051338306,7.01919591926283,0.0229869522087908,0.0174710463618794,13.9485092145678,29.7019471259325,"Buceros bicornis","Buceros_bicornis",25.70643239,"fruit"
"Rufous-necked Hornbill",2,1377,1317.45,1602,1067,898,1097,310,234.175,535.4125,1400,1100,30.630136406397,18.7024270931326,0.0459548879733138,0.0359576860274805,11.9277093132643,12.7043700124858,0.30275772216492,0.0426047238359255,0.028238190678185,12.4016122903208,30.3273786842321,"Aceros nipalensis","Aceros_nipalensis",21.6271216,"fruit"
"Eurasian Hoopoe",2,2340,2304.925,2423,1206,279.475,1240.7,1146,1087.75,2085.9,2300,1200,24.9043593691924,12.2181118249881,0.0559759174159925,0.0358785609991816,12.6862475442043,12.1043963389552,-0.302781777046483,0.0414529140408808,0.0274151040609836,12.4071781160016,25.2071411462389,"Upupa epops","Upupa_epops",21.7746589,"invertebrates"
"Crested Kingfisher",1,742,659.9,906,1270,1236.4,1780,-556.5,-1040.55,-353.5,700,1300,35.4448782807973,23.5015047347256,0.0320636036519555,0.027804222601936,11.9433735460717,11.3993692406248,-1.02548662100232,0.0442932696457408,0.0313380092208575,12.4248558616272,36.4703649017996,"Megaceryle lugubris","Megaceryle_lugubris",29.88208589,"vertebrates"
"White-throated Kingfisher",0,199,192,211.5,154,127,219,47.5,-20,76,200,200,39.6640710249462,28.2027400137879,0.0042808564738231,0.00313442919599782,11.4613310111583,21.2894503358178,7.3900782397302,0.00508873434844005,0.00432350904663981,13.8993720960876,32.273992785216,"Halcyon smyrnensis","Halcyon_smyrnensis",20.24597458,"vertebrates"
